,DCIS_Pro mean value,DCIS_Pure mean value,FC(DCIS_Pro vs DCIS_Pure),ranksums p value,adjusted ranksums p value
BNIP2,0.6603693398837209,2.4820712803666667,0.2660557515439956,5.31285701781383e-06,1.1563098735532909e-05
BNIP3,4.81382812927907,1.8325090975666667,2.626905446565699,2.055213287651853e-10,1.059118526047944e-09
BNIP3L,9.529339591906977,3.1182284301,3.0560107463330954,1.137669676686123e-07,3.2040792906152736e-07
BOK,5.128225521860465,1.9827690214333333,2.586395826455518,8.040246930869309e-10,3.4863918135304002e-09
DST,4.225891794511628,2.3747409791333336,1.7795169374867466,7.92704468305404e-05,0.00014940560130770949
BPGM,0.7722840487674419,2.1941803772333333,0.3519692623179976,0.00014420630598794431,0.00026239494670522804
BPI,2.4761246408139534,1.5289324467,1.6195121283208709,0.025669760626709514,0.03539944666994672
BRCA1,26.528064532232555,1.7546228138666666,15.118955665333335,9.45632729705139e-08,2.699103969803726e-07
BRAF,1.0729022383488371,1.7715128464666667,0.605641805245032,1.2921156171353407e-05,2.6701506232215822e-05
ZFP36L1,4.746214343046511,4.456558775333334,1.0649953433389898,0.9018449172460841,0.9138830915299506
BSG,9.041053692069767,2.7851820945666668,3.2461266032504854,1.8190706358066436e-08,5.937368734069214e-08
BST1,9.881431209046513,4.8008788595333325,2.0582546442355,3.462827592950641e-08,1.0698377453094519e-07
BST2,19.740036042465118,10.9865917405,1.796738834819646,0.17135778689896575,0.20144441219501683
BTF3,3.0393907563023257,282.3585942203334,0.010764293414531568,5.3740096037222564e-12,5.605058957156385e-11
BTG1,6.341621082069767,3.1789511571,1.9948784264602901,9.439633270366919e-09,3.258809141912417e-08
BTK,5.282185697465116,3.6443868502333334,1.449403127202844,0.0020473420254337516,0.003261682184808271
BTN1A1,3.284978725046512,0.0124433723,263.99424897433244,6.567253937685487e-05,0.0001248252713442238
BYSL,5.412925227465116,5.238503883733333,1.0332960226054995,0.6138845570752118,0.6495121658861918
TSPO,35.170864996883715,27.016164028266665,1.3018452567908934,0.028791910516641386,0.03938818025582131
C1QBP,10.378950112720931,11.215583944466665,0.9254043448929382,0.7878634812925829,0.8126822727670873
SERPING1,15.703518913255813,20.568966196433333,0.7634568875891686,0.08028078878688477,0.10195626767366416
